Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,Rank,Status Whiteboard,Epic Link,Tags,Flagged,Rank (Obsolete),Epic/Theme,Sprint,Issuezilla Id
javacc,JAVACC-286,C++: Parser is generated with a reference instead of a pointer,Bug,Open,Major,Unresolved,super_glassfish,brigl,brigl,08/Jan/15 8:19 AM,,09/Jan/15 6:30 AM,,current,,parser generator,,0,2,,,,,,,,C++,"Defining a rule like: 
 {code} 
 void Value() : 
 {} 
 { 
 < FLOATING > #Number 
 | < STRING > #String 
 } 
 {code} 
 
 generates in the the switch - statement of the parser a reference instead of a pointer: 
 {code} 
 voidParser::Value() { 
 switch (jj_nt.kind) { 
 ... 
 } 
 {code} 
 
 The code in the ParserEngine.java should be changed to: 
 {code} 
 ... 
 case NOOPENSTM: 
 	retval += ""\n"" + ""switch (""; 
 	if (Options.getCacheTokens()) { 
 		if(Options.getOutputLanguage().equals(Options.OUTPUT_LANGUAGE__CPP)) { 
 		retval += ""jj_nt->kind) {\u0001""; 
 	} else { 
 		retval += ""jj_nt.kind) {\u0001""; 
 	} 
 ... 
 {code}",,,,,,,,0|i0gbsv:,,,,,95225,,,
javacc,JAVACC-285,Avoiding exceptions for controlling flow,Bug,Open,Major,Unresolved,super_glassfish,synhershko,synhershko,09/Dec/14 5:37 PM,,09/Dec/14 5:37 PM,,,,"parser generator, scanner generator",,0,1,,,,,,,,,"We are using JavaCC generated code in Lucene.NET, a .NET port of Java Lucene. A user has recently identified an optimization opportunity related to JavaCC generated code. It appears if we avoid using exceptions from controlling flow when possible we can get significant performance gain. 
 
 Here's the original ticket + commits to our codebase (Lucene.NET). 
 
 https://issues.apache.org/jira/browse/LUCENENET-541 
 https://github.com/apache/lucene.net/commit/ac8c9fa809110ddb180bf7b2ce93e86270b39ff6 
 https://git-wip-us.apache.org/repos/asf?p=lucenenet.git;a=blobdiff;f=src/core/QueryParser/QueryParserTokenManager.cs;h=ec09c8e451f7a7d1572fbdce4c7598e362526a7c;hp=17583d20f660fdb6e4aa86105c7574383f965ebe;hb=41ebbc2d;hpb=ac8c9fa809110ddb180bf7b2ce93e86270b39ff6 
 
 Originally reported as https://issues.apache.org/jira/browse/LUCENE-5723",,,,,,,,0|i0g6m7:,,,,,94385,,,
javacc,JAVACC-284,TokenMgrError should remember and expose lexical error information,New Feature,Open,Minor,Unresolved,super_glassfish,Matthew_Cline,Matthew_Cline,19/Oct/14 6:58 AM,,19/Oct/14 6:58 AM,,,,,,0,1,,,,,,,,,"The TokenMgrError class should have class members for EOFSee, lexState, errorLin, errorColumn, errorAfter, curChar, and reason, and a means to get at them after the error has been created, like by making the members public. 
 
 The class constants should be made public as well. 
 
 Of course, it's easy enough to manually modify the class to do this, but you shouldn't need to make such modifications.",,,,,,,,0|i0fo5r:,,,,,91395,,,
javacc,JAVACC-283,javadoc part of binary-distribution target is showing error on jdk 8,Bug,Open,Major,Unresolved,Unassigned,skygolanur,skygolanur,10/Jun/14 12:25 PM,,10/Jun/14 12:25 PM,,6.0,,general,,0,0,,,,,,,,jdk 8 - windows,"On jdk8 it's not possible to do binary-distribution because javadoc is having error
 
 h2. Subissue 1:
 On the non generated source some html code are not valid:
 
 Example: src/main/java/org/javacc/parser/RZeroOrMore.java around line 29
 (<foo*>) should be written (&lt;foo*&gt;)
 
 I cannot attach patch :( I copy it at the very end of description.
 
 h2. Subissue 2:
 On the generated source 3 errors are shown like the following
 * ParseException: <result of getMessage>
 The bootstrap javacc.jar seems too old and generate this wrong javadoc code. Modern javacc seems not using the same pattern.
 
 Best Regards
 
 
 h2. patch
 
 
 {panel:title=Patch| borderStyle=dashed| borderColor=#ccc| titleBGColor=#F7D6C1| bgColor=#FFFFCE} 
 {code} 
 Index: src/main/java/org/javacc/parser/ROneOrMore.java
 ===================================================================
 --- src/main/java/org/javacc/parser/ROneOrMore.java	(revision 664)
 +++ src/main/java/org/javacc/parser/ROneOrMore.java	(working copy)
 @@ -29,7 +29,7 @@
 package org.javacc.parser;
 
 /**
 - * Describes one-or-more regular expressions (<foo+>).
 + * Describes one-or-more regular expressions (&lt;foo+&gt;).
 */
 
 public class ROneOrMore extends RegularExpression {
 Index: src/main/java/org/javacc/parser/RRepetitionRange.java
 ===================================================================
 --- src/main/java/org/javacc/parser/RRepetitionRange.java	(revision 664)
 +++ src/main/java/org/javacc/parser/RRepetitionRange.java	(working copy)
 @@ -31,7 +31,7 @@
 import java.util.List;
 
 /**
 - * Describes one-or-more regular expressions (<foo+>).
 + * Describes one-or-more regular expressions (&lt;foo+&gt;).
 */
 
 public class RRepetitionRange extends RegularExpression {
 Index: src/main/java/org/javacc/parser/RZeroOrMore.java
 ===================================================================
 --- src/main/java/org/javacc/parser/RZeroOrMore.java	(revision 664)
 +++ src/main/java/org/javacc/parser/RZeroOrMore.java	(working copy)
 @@ -29,7 +29,7 @@
 package org.javacc.parser;
 
 /**
 - * Describes zero-or-more regular expressions (<foo*>).
 + * Describes zero-or-more regular expressions (&lt;foo*&gt;).
 */
 
 public class RZeroOrMore extends RegularExpression {
 Index: src/main/java/org/javacc/parser/RZeroOrOne.java
 ===================================================================
 --- src/main/java/org/javacc/parser/RZeroOrOne.java	(revision 664)
 +++ src/main/java/org/javacc/parser/RZeroOrOne.java	(working copy)
 @@ -28,7 +28,7 @@
 package org.javacc.parser;
 
 /**
 - * Describes zero-or-one regular expressions (<foo?>).
 + * Describes zero-or-one regular expressions (&lt;foo?&gt;).
 */
 
 public class RZeroOrOne extends RegularExpression {
 Index: src/main/java/org/javacc/parser/TokenProduction.java
 ===================================================================
 --- src/main/java/org/javacc/parser/TokenProduction.java	(revision 664)
 +++ src/main/java/org/javacc/parser/TokenProduction.java	(working copy)
 @@ -61,7 +61,7 @@
 
 /**
 * The states in which this regular expression production exists. If
 - * this array is null, then ""<*>"" has been specified and this regular
 + * this array is null, then ""&lt;*&gt;"" has been specified and this regular
 * expression exists in all states. However, this null value is
 * replaced by a String array that includes all lexical state names
 * during the semanticization phase.
 {code} 
 {panel}",,,,,,,,0|i04e67:,,,,,25625,,,
javacc,JAVACC-282,org.javacc.parser.Main.reInitAll is missing call to org.javacc.parser.ParseGen.reInit ();,Bug,Open,Major,Unresolved,Unassigned,phax,phax,15/May/14 8:39 PM,,15/May/14 8:40 PM,,6.0,,,,0,0,,,,,,,,,"Version: 6.1.2
 Class: org.javacc.parser.Main
 Method: public static void reInitAll
 
 A call to
 org.javacc.parser.ParseGen.reInit ();
 
 is missing.
 This is relevant when using JavaCC in a Maven plugin with multiple exexcutions, as well as for the unit tests!
 
 I just added it to the end of reInitAll and everything works fine!",,,,,,,,0|i090vr:,,,"java, maven",,52632,,,
javacc,JAVACC-281,ParserGen generate wrong constructor call according to option,Bug,Open,Major,Unresolved,ainsleyc,skygolanur,skygolanur,09/May/14 2:04 PM,,09/May/14 9:09 PM,,6.0,,parser generator,,0,0,,,,,,,,javacc 6.1.2,"I was trying to upgrade javacc-maven-plugin localy but the integration test fails because wrong constructor call is generated
 
 line 448:
 genCodeLine("" token_source = new "" + cu_name + ""TokenManager(jj_input_stream);"");
 should be replaced by:
 if (Options.getTokenManagerUsesParser() && !Options.getStatic()) {
 genCodeLine("" token_source = new "" + cu_name + ""TokenManager(this, jj_input_stream);"");
 } else {
 genCodeLine("" token_source = new "" + cu_name + ""TokenManager(jj_input_stream);"");
 }",,,,,,,,0|i0c4vz:,,,,,70777,,,
javacc,JAVACC-280,Calls to ReInit() sometimes causes null pointer exceptions,Bug,Open,Major,Unresolved,ainsleyc,ainsleyc,ainsleyc,05/May/14 10:20 PM,,05/May/14 10:20 PM,,6.0,,,,0,0,,,,,,,,,"The ReInit() method assumes that jj_input_stream and token_source member variables have non-null values, which may not necessarily be a true assumption if a user-generated constructor did not initialize these values (auto generated constructors do initialize these values).",,,,,,,,0|i07v9r:,,,,,45891,,,
javacc,JAVACC-279,"SimpleCharStream is not compatible with JAVA_TEMPLATE_TYPE=""modern""",Bug,Open,Major,Unresolved,ainsleyc,ainsleyc,ainsleyc,05/May/14 9:00 PM,,05/May/14 9:00 PM,,,,parser generator,,0,0,,,,,,,,,"SimpleCharStream's constructor's and ReInit() methods are not compatible with the parsers generated by the modern java template type. The modern template type replaces specific IO classes with the Provider interface (which is new to 6.1).
 
 JavaCharStream's template was updated to use Providers rather than explicit IO interfaces, but SimpleCharStream was left behind, and a TODO was left in the appropriate location.
 
 Trigger condition::
 
 If the following is specified:::
 
 JAVA_TEMPLATE_TYPE = ""modern"";
 
 Without the following being specified:::
 
 JAVA_UNICODE_ESCAPE = true;",,,,,,,,0|i07mmv:,,,,,44492,,,
javacc,JAVACC-278,pom.xml is using modelVersion 5.0.0 which is really too young...Plesae rollback to the commonly modelVersion 4.0.0,Bug,Closed,Major,Incomplete,Unassigned,francisandre,francisandre,13/Apr/14 5:52 PM,,04/Jun/16 5:46 PM,04/Jun/16 5:46 PM,current,,general,,0,0,,,,,,,,,"Hi
 
 I am trying to use Maven to build javacc but maven rejects the modelVersion of 5.0.0; please rollback to the common used modelVersion 4.0.0 which is also used by Eclipse maven.",,,,,,,,0|i07jiv:,,,,,43988,,,
javacc,JAVACC-277,"For CPP target, NODE_INCLUDES better be included by Node.h",Improvement,Open,Major,Unresolved,Unassigned,massmassmass,massmassmass,13/Apr/14 1:12 AM,,13/Apr/14 1:13 AM,,,,,,0,0,,,,,,,,,"With option:
 NODE_INCLUDES = ""Node_Inc.h"";
 
 This include file will only be included by header file of SimpleNode, not Node. In this case, if ""VISITOR_DATA_TYPE"" were defined with a class, Node.h could not pass compiler. Unless manually add header file to Node.h",,,,,,,,0|i093uv:,,,,,53114,,,
javacc,JAVACC-276,Unnecessary OUTPUT_DIRECTORY in include path for *Parser.cc and *ParserTokenManager.cc for CPP target,Bug,Open,Major,Unresolved,Unassigned,massmassmass,massmassmass,12/Apr/14 5:32 PM,,12/Apr/14 10:17 PM,,6.0,,parser generator,,0,0,,,,,,,,,"Bug Desc:
 For cpp target, in *Parser.cc and *ParserTokenManager.cc, there are OUTPUT_DIRECTORY in include path which is unnecessary, and cause compile error after move OUTPUT_DIRECTORY to other path.
 
 Example:
 javacc-6.0/examples/JavaGrammars/cpp
 For JavaParser.cc
 #include ""gen/JavaParser.h""
 For JavaParserTokenManager.cc
 #include ""gen/JavaParserTokenManager.h""",,,,,,,,0|i08ydr:,,,,,52227,,,
javacc,JAVACC-275,Addition to take into concideration,Bug,Open,Major,Unresolved,Unassigned,chiana,chiana,09/Apr/14 5:43 AM,,09/Apr/14 5:43 AM,,6.0,,,,0,0,,,,,,,,,"Concider adding the option ""EXCEPTION_EXTENDS"" that makes ParseException extend given class instead of ""Exception"".",,,,,,,,0|i0egdr:,,,,,84303,,,
javacc,JAVACC-274,JJTree should allow setting NODE_CLASS locally,New Feature,Open,Minor,Unresolved,Unassigned,garfieldnate,garfieldnate,09/Apr/14 4:13 AM,,09/Apr/14 4:13 AM,,,,jjtree,,0,0,,,,,,,,,"I have a specific node class I want used for a certain production. This is roughly what I'm doing right now to make it work:
 void myProduction() :
 {
 jjtThis = new MyNode();
 Token t;
 }
 {
 //aggregate XYZ tokens into a MyNode object 
 (
 t = <XYZ>
 {
 //cast the current node to a MyNode object, since JJTree always declares it as SimpleNode or NODE_CLASS
 ((MyNode)jjtThis).add(t.image);
 }
 )*
 }
 
 I have to recast jjtThis everytime I want to call something in MyNode. I set jjtThis to the correct node type, but in the generated code this happens only after jjtThis is declared as a SimpleNode (or whatever NODE_CLASS is). The jjtThis variable is therefore initialized twice.
 
 It would be much simpler if I could declare NODE_CLASS: ""MyNode"" within this production and have jjtThis correctly declared and initialized.",,,,,,,,0|i0aki7:,,,,,61643,,,
javacc,JAVACC-273,Default Visitor Behavior is Different between Java and CPP target,Improvement,Open,Minor,Unresolved,Unassigned,massmassmass,massmassmass,08/Apr/14 10:01 PM,,08/Apr/14 10:01 PM,,6.0,,jjtree,,0,0,,,,,,,,CentOs,"In CPP, defaultVisit is pure virtual function:
 
 virtual void defaultVisit(const SimpleNode *node, void * data) = 0;
 
 In Java, defaultVisit will visit all child nodes:
 
 public Object defaultVisit(SimpleNode node, Object data){
 node.childrenAccept(this, data);
 return data;
 }
 
 I checked history of code, in revision 455, implementation has been commented on purpose in file CPPNodeFiles.java. Is there any purpose for it?",,,,,,,,0|i0cl5r:,,,,,73413,,,
javacc,JAVACC-272,Memory Leak in JJT*State nodes when reuse parser with STATIC option for CPP Target,Bug,Open,Minor,Unresolved,Unassigned,massmassmass,massmassmass,08/Apr/14 3:46 AM,,08/Apr/14 4:17 AM,,6.0,,parser generator,,0,0,,,,,,,,CentOS,"Tried to run google profile with parser and caught memory leak for JJT*State class.
 
 Leak only happen with STATIC = true option and reuse parser to parse multiple content.
 
 My generated code:
 class:
 class JJTExprParserState {
 private: std::vector<Node*> *nodes;
 private: std::vector<int> *marks;
 private: std::set<Node*> *open_nodes;
 }
 
 reset function, which will be called by ReInit:
 
 void JJTExprParserState::reset() {
 nodes->resize(0);
 marks->resize(0);
 sp = 0;
 mk = 0;
 }
 
 But content of nodes and open_nodes may need to be deleted as deconstructor do.
 
 Deconstructor
 
 JJTExprParserState::~JJTExprParserState() {
 for (size_t i = 0; i < nodes->size(); i++) {
 Node* node = nodes->at(i);
 open_nodes->erase(node);
 delete node;
 }
 for (std::set<Node*>::iterator it = open_nodes->begin();
 it != open_nodes->end(); it++) 
 delete (*it);
 
 delete open_nodes;
 delete nodes;
 delete marks;
 }",,,,,,,,0|i06oqv:,,,,,39002,,,
javacc,JAVACC-271,TRACK_TOKENS options is broken for CPP parser generation,Bug,Open,Major,Unresolved,Unassigned,massmassmass,massmassmass,07/Apr/14 9:40 PM,,07/Apr/14 10:43 PM,,,,parser generator,,0,0,,,,,,,,,"1. How to reproduce:
 a. Add ""TRACK_TOKENS = true"" option to javacc-6.0/examples/JavaGrammars/cpp/Java1.1.jjt
 b. Run make get compiler error like:
 i. gen/JavaParser.cc:2051: error: request for member \u2018jjtSetFirstToken\u2019 in \u2018jjtn000\u2019, which is of non-class type \u2018java::parser::SimpleNode*\u2019
 ii. gen/JavaParser.cc:2078: error: request for member \u2018jjtSetLastToken\u2019 in \u2018jjtn000\u2019, which is of non-class type \u2018java::parser::SimpleNode*\u2019
 
 2. Reason:
 In JavaParser.cc, generated code for parsing function will contain segment like:
 jj_consume_token(OR);
 ASTOr *jjtn001 = new ASTOr(JJTOR);
 bool jjtc001 = true;
 jjtree.openNodeScope(jjtn001);
 jjtn001.jjtSetFirstToken(getToken(1));
 
 Since jjtn001 is pointer, ""jjtn001.jjtSetFirstToken(getToken(1));"" is invalid",,,,,,,,0|i093wv:,,,,,53123,,,
